test0,test1,test2,test3,test4
"{'NDCG@5': 0.2942481669335718, 'HR@5': 0.3992742251863476}","{'NDCG@5': 0.2628172420617477, 'HR@5': 0.35757278835386336}","{'NDCG@5': 0.23584757844372603, 'HR@5': 0.3299582677704043}","{'NDCG@5': 0.19756664647026542, 'HR@5': 0.2845162609940683}","{'NDCG@5': 0.1588837211719379, 'HR@5': 0.2317388934314527}"
"{'NDCG@5': 0.2962316792065951, 'HR@5': 0.4018242448018831}","{'NDCG@5': 0.263690491274668, 'HR@5': 0.35890257558790595}","{'NDCG@5': 0.2363619846377419, 'HR@5': 0.3313265375932134}","{'NDCG@5': 0.1983045390385125, 'HR@5': 0.28710711120201815}","{'NDCG@5': 0.15896857499954195, 'HR@5': 0.2330335241210139}"
"{'NDCG@5': 0.2954339057980816, 'HR@5': 0.40123577873675953}","{'NDCG@5': 0.26341690146114194, 'HR@5': 0.3582026875699888}","{'NDCG@5': 0.23687406865037108, 'HR@5': 0.3324211534514606}","{'NDCG@5': 0.19849483535382328, 'HR@5': 0.2869025703961274}","{'NDCG@5': 0.15939713724187068, 'HR@5': 0.23262469337694194}"
"{'NDCG@5': 0.29469513840813377, 'HR@5': 0.4009415457041977}","{'NDCG@5': 0.2632136297343747, 'HR@5': 0.3562430011198208}","{'NDCG@5': 0.23762427039015793, 'HR@5': 0.33344735581856744}","{'NDCG@5': 0.1985764649178521, 'HR@5': 0.2869025703961274}","{'NDCG@5': 0.15886865695753366, 'HR@5': 0.2324884164622513}"
"{'NDCG@5': 0.29691965821806554, 'HR@5': 0.40309925460965085}","{'NDCG@5': 0.2638911498365311, 'HR@5': 0.35792273236282196}","{'NDCG@5': 0.23711117828890754, 'HR@5': 0.331873845522337}","{'NDCG@5': 0.19891218553391352, 'HR@5': 0.28772073361969047}","{'NDCG@5': 0.15908700747729473, 'HR@5': 0.23228400109021533}"
"{'NDCG@5': 0.297255766400147, 'HR@5': 0.4030011769321302}","{'NDCG@5': 0.2649770450854029, 'HR@5': 0.35862262038073905}","{'NDCG@5': 0.23737731373399926, 'HR@5': 0.33180543203119656}","{'NDCG@5': 0.19889991735845597, 'HR@5': 0.2875161928137997}","{'NDCG@5': 0.1583496626729723, 'HR@5': 0.2309212319433088}"
"{'NDCG@5': 0.2987966261036188, 'HR@5': 0.4040800313848568}","{'NDCG@5': 0.26521876578342235, 'HR@5': 0.35848264277715564}","{'NDCG@5': 0.2385852994440335, 'HR@5': 0.33276322090716287}","{'NDCG@5': 0.1996569295914598, 'HR@5': 0.2886070771118838}","{'NDCG@5': 0.1598256979810425, 'HR@5': 0.23446443172526574}"
"{'NDCG@5': 0.2996272032447104, 'HR@5': 0.404276186739898}","{'NDCG@5': 0.2665229060928614, 'HR@5': 0.36198208286674133}","{'NDCG@5': 0.23923528074851022, 'HR@5': 0.3339262502565506}","{'NDCG@5': 0.20053991053752565, 'HR@5': 0.2896297811413377}","{'NDCG@5': 0.16086302861173968, 'HR@5': 0.235145816298719}"
"{'NDCG@5': 0.29939429143902535, 'HR@5': 0.4039819537073362}","{'NDCG@5': 0.2665825589333427, 'HR@5': 0.3608622620380739}","{'NDCG@5': 0.23948899477664326, 'HR@5': 0.33495245262365736}","{'NDCG@5': 0.20018021768987676, 'HR@5': 0.2889479784550351}","{'NDCG@5': 0.16033347921315647, 'HR@5': 0.23337421640774053}"
"{'NDCG@5': 0.30006579950672413, 'HR@5': 0.405256963515104}","{'NDCG@5': 0.26698773577227514, 'HR@5': 0.36205207166853304}","{'NDCG@5': 0.24110570246652308, 'HR@5': 0.33721009783129235}","{'NDCG@5': 0.2008935945586483, 'HR@5': 0.29065248517079156}","{'NDCG@5': 0.16169169354700158, 'HR@5': 0.2369855546470428}"
